model_id,model_name,election_date,datasource_weight,model_time_interval,model_time_distance,model_time_id,GT_end_date,GT_start_date,GT_identifier,election,model_time_period_color,parties,data_election,data_election_previous,name_GT_datasets,GT_keywords,data_GT_year,predictions_Infratest,predictions_Forsa,predictions_Kantar,predictions_FGW,predictions_Allens,predictions_GT,predictions_GT_election_weight,Weight_Model_2,Poll_dates_weekly_weighting,GT_data_weekly_weighting,predicitons_GT_weekly_polls,predicitons_GT_weekly_polls_mean,predictions
37,M_85_2009_int_7_days_dist_1_days_FGW,2009-09-27,FGW,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
38,M_86_2009_int_7_days_dist_51_days_FGW,2009-09-27,FGW,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
39,M_87_2009_int_7_days_dist_101_days_FGW,2009-09-27,FGW,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
40,M_88_2009_int_91_days_dist_1_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
41,M_89_2009_int_91_days_dist_51_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
42,M_90_2009_int_91_days_dist_101_days_FGW,2009-09-27,FGW,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
43,M_91_2009_int_7_days_dist_1_days_Allens,2009-09-27,Allens,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
44,M_92_2009_int_7_days_dist_51_days_Allens,2009-09-27,Allens,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
45,M_93_2009_int_7_days_dist_101_days_Allens,2009-09-27,Allens,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
46,M_94_2009_int_91_days_dist_1_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
47,M_95_2009_int_91_days_dist_51_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
48,M_96_2009_int_91_days_dist_101_days_Allens,2009-09-27,Allens,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,,,,,,,,,,,,,,,
49,M_97_2013_int_7_days_dist_1_days_GT,2013-09-22,GT,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
50,M_98_2013_int_7_days_dist_51_days_GT,2013-09-22,GT,604800s (~1 weeks),51d 0H 0M 0S,days,2013-08-02,2013-07-26,2013-07-26-2013-08-02,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
51,M_99_2013_int_7_days_dist_101_days_GT,2013-09-22,GT,604800s (~1 weeks),101d 0H 0M 0S,days,2013-06-13,2013-06-06,2013-06-06-2013-06-13,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
