Date,CDU,SPD,Grüne,FDP,Linke,AFD,Sonstige
2007-06-01,39,31,8,8,9,NA,5
2007-05-18,38,32,9,8,9,NA,4
2007-04-20,37,32,10,9,8,NA,4
2007-03-30,37,31,9,9,9,NA,5
2007-03-16,37,32,9,9,8,NA,5
2007-03-02,37,31,9,10,8,NA,5
2007-02-09,37,30,10,10,8,NA,5
2007-01-12,36,32,9,10,8,NA,5
2006-12-15,37,31,10,9,8,NA,5
2006-11-24,36,31,10,10,8,NA,5
2006-11-10,35,31,9,11,8,NA,6
2006-10-27,34,31,10,11,9,NA,5
2006-10-13,33,32,10,11,8,NA,6
2006-09-29,33,31,9,13,7,NA,7
2006-09-01,36,30,9,11,8,NA,6
2006-08-18,36,30,9,12,7,NA,6
2006-07-14,37,31,8,11,7,NA,6
2006-06-16,39,32,8,9,8,NA,4
2006-05-19,41,32,8,9,7,NA,3
2006-04-28,42,31,7,8,8,NA,4
2006-04-07,41,32,8,7,8,NA,4
2006-03-10,41,32,7,8,8,NA,4
2006-02-17,41,32,8,8,7,NA,4
2006-01-27,41,33,7,8,8,NA,3
2006-01-13,39,33,8,9,8,NA,3
2005-12-09,38,34,8,9,8,NA,3
2005-11-25,37,34,9,9,8,NA,3
2005-11-11,36,33,9,9,9,NA,4
2005-10-28,37,35,8,9,8,NA,3
2005-10-14,38,35,7,8,8,NA,4
2005-10-07,39,34,7,7,9,NA,4
2005-09-23,37,35,8,8,8,NA,4
